"abandoneer", "Abandoneer", "[dos]", "http://www.abandoneer.com/", "150"
"abandonia", "Abandonia", "[dos, win]", "http://www.abandonia.com/", "1000"
"gb64", "Gamebase 64", "[c64]", "http://www.gamebase64.com", "22000"
"oscomp", "Oldschool Computer", "[dos, c64, c128, cplus4, msx, megadrive, mastersystem, gb, atari2k6, nes, snes, amiga]", "http://oscomp.hu/", "1230"
"osd", "Old School DOS", "[dos]", "http://www.oldschooldos.com/", "121"

