"dosbox", "DOSBox", "[dos]", "http://www.dosbox.com/"
"openmsx", "openMSX", "[msx]", "http://openmsx.sourceforge.net/"
"scummvm", "ScummVM", "[dos, c64]", "http://www.scummvm.org/"
"stella", "Stella", "[atari2k6]", "http://stella.sourceforge.net/"
"vice", "VICE", "[c64]", "http://www.viceteam.org/"

